Age,Attrition,BusinessTravel,DailyRate,Department,DistanceHome,Education,HourlyRate,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel Rarely,1102,Sales,1,2,94,Sales Executive,6,4,0,5
49,0,Travel Frequently,279,Research & Development,8,1,61,Research Scientist,10,7,1,7
37,1,Travel Rarely,1373,Research & Development,2,2,92,Laboratory Technician,0,0,0,0
33,0,Travel Frequently,1392,Research & Development,3,4,56,Research Scientist,8,7,3,0
27,0,Travel Rarely,591,Research & Development,2,1,40,Laboratory Technician,2,2,2,2
32,0,Travel Frequently,1005,Research & Development,2,2,79,Laboratory Technician,7,7,3,6
59,0,Travel Rarely,1324,Research & Development,3,3,81,Laboratory Technician,1,0,0,0
30,0,Travel Rarely,1358,Research & Development,24,1,67,Laboratory Technician,1,0,0,0
38,0,Travel Frequently,216,Research & Development,23,3,44,Manufacturing Director,9,7,1,8
36,0,Travel Rarely,1299,Research & Development,27,3,94,Healthcare Representative,7,7,7,7
35,0,Travel Rarely,809,Research & Development,16,3,84,Laboratory Technician,5,4,0,3
29,0,Travel Rarely,153,Research & Development,15,2,49,Laboratory Technician,9,5,0,8
31,0,Travel Rarely,670,Research & Development,26,1,31,Research Scientist,5,2,4,3
34,0,Travel Rarely,1346,Research & Development,19,2,93,Laboratory Technician,2,2,1,2
28,1,Travel Rarely,103,Research & Development,24,3,50,Laboratory Technician,4,2,0,3
29,0,Travel Rarely,1389,Research & Development,21,4,51,Manufacturing Director,10,9,8,8
32,0,Travel Rarely,334,Research & Development,5,2,80,Research Scientist,6,2,0,5
22,0,Non-Travel,1123,Research & Development,16,2,96,Laboratory Technician,1,0,0,0
53,0,Travel Rarely,1219,Sales,2,4,78,Manager,25,8,3,7
38,0,Travel Rarely,371,Research & Development,2,3,45,Research Scientist,3,2,1,2
24,0,Non-Travel,673,Research & Development,11,2,96,Manufacturing Director,4,2,1,3
36,1,Travel Rarely,1218,Sales,9,4,82,Sales Representative,5,3,0,3
34,0,Travel Rarely,419,Research & Development,7,4,53,Research Director,12,6,2,11
21,0,Travel Rarely,391,Research & Development,15,2,96,Research Scientist,0,0,0,0
34,1,Travel Rarely,699,Research & Development,6,1,83,Research Scientist,4,2,1,3
53,0,Travel Rarely,1282,Research & Development,5,3,58,Manager,14,13,4,8
32,1,Travel Frequently,1125,Research & Development,16,1,72,Research Scientist,10,2,6,7
42,0,Travel Rarely,691,Sales,8,4,48,Sales Executive,9,7,4,2
44,0,Travel Rarely,477,Research & Development,7,4,42,Healthcare Representative,22,6,5,17
46,0,Travel Rarely,705,Sales,2,4,83,Manager,2,2,2,1
33,0,Travel Rarely,924,Research & Development,2,3,78,Laboratory Technician,1,1,0,0
44,0,Travel Rarely,1459,Research & Development,10,4,41,Healthcare Representative,4,2,1,3
30,0,Travel Rarely,125,Research & Development,9,2,83,Laboratory Technician,10,0,1,8
39,1,Travel Rarely,895,Sales,5,3,56,Sales Representative,1,0,0,0
24,1,Travel Rarely,813,Research & Development,1,3,61,Research Scientist,2,0,2,0
43,0,Travel Rarely,1273,Research & Development,2,2,72,Research Scientist,5,3,1,4
50,1,Travel Rarely,869,Sales,3,2,86,Sales Representative,3,2,0,2
35,0,Travel Rarely,890,Sales,2,3,97,Sales Representative,2,2,2,2
36,0,Travel Rarely,852,Research & Development,5,4,82,Research Scientist,1,1,0,0
33,0,Travel Frequently,1141,Sales,1,3,42,Sales Executive,5,3,1,3
35,0,Travel Rarely,464,Research & Development,4,2,75,Laboratory Technician,1,0,0,0
27,0,Travel Rarely,1240,Research & Development,2,4,33,Laboratory Technician,1,0,0,0
26,1,Travel Rarely,1357,Research & Development,25,3,48,Laboratory Technician,1,0,0,1
27,0,Travel Frequently,994,Sales,8,3,37,Sales Executive,9,8,1,7
30,0,Travel Frequently,721,Research & Development,1,2,58,Laboratory Technician,12,8,3,7
41,1,Travel Rarely,1360,Research & Development,12,3,49,Research Director,22,15,15,8
34,0,Non-Travel,1065,Sales,23,4,72,Sales Executive,9,5,8,7
37,0,Travel Rarely,408,Research & Development,19,2,73,Research Scientist,1,0,0,0
46,0,Travel Frequently,1211,Sales,5,4,98,Sales Executive,9,6,0,8
35,0,Travel Rarely,1229,Research & Development,8,1,36,Laboratory Technician,1,0,0,1
48,1,Travel Rarely,626,Research & Development,1,2,98,Laboratory Technician,1,0,0,0
28,1,Travel Rarely,1434,Research & Development,5,4,50,Laboratory Technician,2,2,2,2
